Model,MAE,RMSE,R²,Within 1 Corner %
Lasso Regression,2.053210712094041,2.5166625829195612,0.03589285170356282,28.08219178082192
Random Forest,2.0679926460180673,2.5399441631265165,0.017972482522129796,29.794520547945208
Ridge Regression,2.073590890091084,2.5426080282235444,0.015911523327770793,27.73972602739726
Linear Regression,2.073641095860198,2.5426652377301746,0.01586723820872671,27.73972602739726
LightGBM,2.0869372551041985,2.5650110016331777,-0.0015065244838698977,26.027397260273972
XGBoost,2.1042280197143555,2.5698464385588173,-0.005286097526550293,25.0
Gradient Boosting,2.119598727865427,2.5996159268573655,-0.028711741148200298,27.054794520547947
Decision Tree,2.3402149946212436,2.999970098459339,-0.36996404941416894,26.36986301369863
